TeamName,QuestNumber,Text,CorrectAnswers,Hint,AudioPath,ImagePath,FileRequired,QuestTimerRequired,QuestTimerDuration,HintTimerRequired,HintTimerDuration
TEAM1,1,"В Плик №1 разполагате с предмети, които ще ви насочат коя е локацията, към която да поемете. В допълнение към тях, за да се ориентирате за името на тази забележителност, получавате и тази анаграма: твсеи гарланех халими.",църква свети архангел михаил|свети архангел михаил|св. архангел михаил|архангел михаил|църква архангел михаил|църквата архангел михаил|църката свети архангел михаил,"Църквата е с име на главния архангел, главния пазител на небесното царство и главен страж на Божия закон, който превежда душите на мъртвите до ада или рая.",,,FALSE,,,TRUE,2m
TEAM1,2,"Когато пристигнете в църквата, се снимайте пред входа като протегнете длан напред и я сложите върху дланта на останалите.",,,,,TRUE,,,,
TEAM1,3,"Легендата разказва, че църквата е построена през XII век. За да благодарят на Бога за подкрепата в успешната битка през 1190 г. в Тревненския проход, братята Асеневци построили три църкви, посветени на Св. Архангел Михаил. Едната от тях била в Трявна. Тя била опожарена при голямото кърджалийско нападение над Трявна през 1798 г. После тревненци се съвзели, ремонтирали църквата си и подновили служението. \nВлезте в църквата и запалете свещичката, с която разполагате (има по свещ за всеки).\nTimer-ът вече отброява 7 минутки от началото на quest-а, за да имате време за себе си в църквата. Ще можете да продължите нататък с quest-а след като минат 7-те минути. Когато времето изтече се съберете в двора на Църквата, направете снимка на цвете от двора на църквата и я изпратете.",,,,,TRUE,TRUE,7m,,
TEAM1,4,"Разполагате с аудио, което да ви насочи към забележителността, до която трябва да стигнете. След като отговорите на quest-а стигнете до тази локация",часовникова кула|часовниковата кула|часовниковата кула в трявна|часовникова кула трявна|часовниковата кула трявна,,/static/audio/clockTowerBells.mp3,,FALSE,,,,
TEAM1,5,"Помолете минувач да ви снима пред Часовниковата кула като по най-оригинален начин се направете на часовници, часовникови механизми, махала, стрелки, циферблат, числа и т.н. ",,,,,TRUE,,,,
TEAM1,6,"Век и половина след построяването на кулата към часовниковия механизъм е добавен магнетофон, благодарение на който всяка вечер точно в 22 ч. зазвучава песента по стихотворението „Неразделни“ на Пенчо Славейков.\nРазполагате с кратко аудио на песента. Кои са основните герои в песента по текст на стихотворението “Неразделни”?","калина и явор|калина, явор|калина,явор|явор и калина|явор, калина|явор,калина|явор калина|калина явор",,/static/audio/nerazdelni.mp3,,FALSE,,,,
TEAM1,7,Разберете от коя забележителност е тази снимка (например питайте хората от Трявна). Как се казва тази забележителност?,старото школо|старата школа|старата школа трявна|старото школо трявна,"Името на тази забележителност в превод на съвременен български език би било: “Старото училище”, но в миналото думата училище е била заместена с друга дума, която е означава същото.",,/static/img/sh.png,FALSE,,,TRUE,2m
TEAM1,8,"Старото школо в Трявна е едно от първите български светски училища, построено през 1839 г., в мрачните времена на османското иго.\nКогато пристигнете в Старото школо, намерете стаята на Класното училище (на втория етаж) и се снимайте седнали на банките като ученици, хванали перата. Някой от вас може да влезе в ролята на строг учител. Направете снимката максимално оригинална.",,,,,TRUE,,,,
TEAM1,9,"На ученическите банки ще откриете пясък, на който децата са пишели. Напишете нещо вдъхновяващо и го изпратете като снимка. ",,,,,TRUE,,,,
TEAM1,10,"В Класната стая влезте в ролите на учител и ученици. Нека част от вас застанат от ляво на учителската банка, пред черните табелки, с които са назидавали провинилите се учениците, а друга част - от дясно пред белите табелки, с които са поощрявали прилежните ученици. Пресъздайте емоциите на всеки от участниците в подобна реална ситуация и се снимайте. 🙂 ",,,,,TRUE,,,,
TEAM1,11,"На втория етаж, зала 2, открийте предмет с марка на известен съвременен автомобил. Какъв е този предмет?",пишеща машина,,,,FALSE,,,,
TEAM1,12,"На втория етаж, зала 2, има 4 вида времеизмервателни уреди. Напишете определението на всеки от тях в азбучен ред.","воден, огнен, огнено-маслен, пясъчен|воден,огнен,огнено-маслен,пясъчен|воден огнен огнено-маслен пясъчен|воден, огнен, огнено-маслен и пясъчен|воден огнен огнено-маслен и пясъчен|воден,огнен,огнено-маслен и пясъчен",,,,FALSE,,,,
TEAM1,13,"На втория етаж в ескпозицията със сметалото, изпишете една произволна дума с наличните букви и се снимайте на фона на сметалото, с което по оригинален начин изпишете 1,563,345. Можете да си направите селфи.",,,,,TRUE,,,,
TEAM1,14,"На втория етаж снимайте книгата, чието име “мирише на море”.",рибен буквар|рибният буквар|рибния буквар|буквар,"Написана е от Петър Берон и името й се състои от две думи: първата е морско/ водно животно, а втората е първата книга на децата в училище. ",,,FALSE,,,TRUE,2m
TEAM1,15,"През 1845 г. в тревненското Старо школо учител става Петко Славейков. По негово време настъпили много промени в учебния процес и се поставило началото на ново развитие на учебното дело в града. Именно той въвел класното образование и нови предмети като пеене по ноти, рисуване, гимнастика, естествени науки и не на последно място писмено и говоримо турски, гръцки и френски език. Той целял българчетата да получават достойно на европейското образование. \nКое е мотото, което Петко Славейков ни е завещал, зашифровано в текстът по-долу: ",просвещението е нужно на всякой народ|просвещение е нужно на всякой народ,"Можете да намерите мотото на стената в класното училище. ",,/static/img/azbuka.png,FALSE,,,TRUE,2m
TEAM1,16,"Наредете пъзела в плик 2 и стигнете до забележителността, която ще откриете на него, когато го наредите. \nСнимайте готовия пъзел и го изпратете. ",,,,,TRUE,,,,
TEAM1,17,"На моста са останали следи от влюбени, които са се вричали в любов един на друг. \nКолко такива символа откриване на моста?
",7|7 катинара|7 катинарчета|7 катинари|7катинара|7катинари|7катинарчета,,,,FALSE,,,,
TEAM1,18,"Кивгиреният мост e стрoeн e прeз 1844 - 1845г. Първoнaчaлнo бил oт дървo, нo cлeд пoрoйни дъждoвe рeкaтa прииждaлa и чecтo гo cъбaрялa. Зaтoвa трeвнeнци рeшили дa гo пocтрoят oт кaмък. Мaйcтoр Димитър Ceргюв нaпрaвил мocтa в римcки cтил – виcoк, cвoдecт и cилнo изгърбeн дa мoжe cвoбoднo дa прoпуcкa придoшлитe буйни вoди нa рeкa Трeвнeнcкa.\nВъпрос: Как наричат още този мост тревненци? ",гърбавия мост|гърбав мост|гърбав|гърбавият мост,"Едно от определенията на моста по горе съдържа неговото име. Ако не успеете да се сетите, спрете минувач или влезте в близко дюкянче и попитайте тревненец.",,,FALSE,,,TRUE,2m
TEAM1,19,По улица Петко Славейков между номер 21 и номер 17 има два Нречи Ванагри.  Открийте ги и ги снимайте. ,,"Махнете една буква от английската дума Crown и ще получите името на птицата, която търсите. ",,,TRUE,,,TRUE,2m
TEAM1,20,"Забележителността, до която трябва да стигнете носи името си от думата, която означава “учител” в миналото. Внимание: Имате 7-10 мин. ходене до тази локация. Изберете маршрутът ви да премине през ул. Петко Славейков. Това ще ви помогне за останалите quest-ове. ",даскаловата къща|даскалова къща|даскалова|даскаловата,,,,FALSE,,,,
TEAM1,21,"“Тревненската колона” е дървопластика от ствола на 208-годишен дъб, израснал в Странджа планина край село Българи, която е изработена от съвременни майстори дърворезбари по случай 200 годишнината на Даскаловата къща. Когато стигнете до Даскаловата къща помолете друг посетител/ служителя в музея да ви снима пред Тревненската колона в двора на къщата. ",,,,,TRUE,,,,
